n,n_senses,chance,purity_k1,excess_k1,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,within,between,gap
1200,6,0.16597164303586323,0.3983333333333333,0.27860166666666664,0.3715,0.24642849999999997,0.34933333333333333,0.21985066666666664,0.3253333333333333,0.19107466666666661,0.27818333333333334,0.13454181666666665,0,1,set,v,0.061165064573287964,0.03862972930073738,0.022535335272550583
600,3,0.332220367278798,0.47833333333333333,0.21880416666666666,0.427,0.1419325,0.4005,0.10224875000000003,0.37883333333333336,0.06980291666666669,0.3606333333333333,0.042548416666666616,0,1,state,n,0.04048370197415352,0.03814806416630745,0.0023356378078460693
1200,6,0.16597164303586323,0.5091666666666667,0.4114908333333333,0.4385,0.32676150000000004,0.4066666666666667,0.2885933333333333,0.36754166666666666,0.2416824583333333,0.31535,0.17910465,0,1,string,n,0.10417991131544113,0.01852540858089924,0.08565450459718704
600,3,0.332220367278798,0.5883333333333334,0.3835291666666667,0.528,0.29318000000000005,0.48883333333333334,0.23452791666666667,0.45508333333333334,0.18398729166666666,0.4101666666666667,0.11672458333333334,0,1,study,n,0.023069681599736214,-0.0093354731798172,0.032405152916908264
400,2,0.49874686716791977,0.735,0.47132500000000005,0.707,0.41546500000000003,0.67575,0.35312125,0.64825,0.2982587500000001,0.58735,0.17676325000000015,0,1,study,v,0.022331543266773224,-0.018353581428527832,0.040685124695301056
1000,5,0.1991991991991992,0.406,0.25824250000000004,0.3538,0.19305775,0.3234,0.15509575000000003,0.3017,0.12799787500000004,0.27098,0.089636275,0,1,system,n,0.0488264337182045,0.02255527675151825,0.02627115696668625
600,3,0.332220367278798,0.5966666666666667,0.39600833333333335,0.5603333333333333,0.3415991666666667,0.5328333333333334,0.30041791666666673,0.5148333333333334,0.2734629166666667,0.48046666666666665,0.2219988333333333,0,1,table,n,0.1150464117527008,-0.004340014420449734,0.11938642710447311
400,2,0.49874686716791977,0.88,0.7606,0.8665,0.7336675000000001,0.861,0.7226950000000001,0.84725,0.69526375,0.8191,0.6391045000000002,0,1,table,v,0.18429358303546906,-0.16579698026180267,0.35009056329727173
800,4,0.2490613266583229,0.4575,0.2775708333333334,0.364,0.15306,0.34025,0.12143291666666668,0.316,0.08914000000000001,0.287725,0.05148712500000002,0,1,test,n,0.014338880777359009,0.007898610085248947,0.006440270692110062
400,2,0.49874686716791977,0.645,0.2917750000000001,0.606,0.21397000000000002,0.587,0.176065,0.576875,0.15586562500000012,0.5747,0.15152650000000004,0,1,test,v,0.0749439001083374,-0.01746951974928379,0.09241341799497604
400,2,0.49874686716791977,0.685,0.37157500000000016,0.636,0.27382000000000006,0.606,0.21397000000000002,0.58575,0.17357125000000004,0.5571,0.11641450000000014,0,1,text,n,0.05088342726230621,0.02330729179084301,0.027576135471463203
600,3,0.332220367278798,0.5583333333333333,0.3386041666666667,0.5253333333333333,0.28918666666666665,0.4985,0.24900375,0.479,0.21980249999999996,0.44406666666666667,0.16748983333333334,0,1,then,r,0.036492083221673965,0.01747896336019039,0.019013119861483574
400,2,0.49874686716791977,0.6225,0.24688750000000018,0.6385,0.2788075,0.62425,0.25037875000000004,0.59925,0.20050374999999995,0.5631,0.12838450000000015,0,1,there,r,0.02379937842488289,0.007424400188028812,0.01637497916817665
400,2,0.49874686716791977,0.735,0.47132500000000005,0.6995,0.4005025000000001,0.67075,0.34314625,0.654625,0.3109768750000001,0.62885,0.2595557500000001,0,1,through,r,0.009954956360161304,-0.013359029777348042,0.023313986137509346
1400,7,0.14224446032880628,0.485,0.3995958333333333,0.43642857142857144,0.3429696428571429,0.4085,0.3104095833333333,0.3740357142857143,0.27022997023809525,0.32212857142857143,0.20971489285714287,0,1,time,n,0.06278380006551743,0.01680898666381836,0.045974813401699066
800,4,0.2490613266583229,0.55375,0.40574374999999996,0.47875,0.30586875,0.459,0.27956833333333336,0.435625,0.248440625,0.4068,0.21005533333333334,0,1,type,n,0.1050647646188736,0.0037834173999726772,0.10128134489059448
400,2,0.49874686716791977,0.76,0.5212000000000001,0.7315,0.46434250000000016,0.70325,0.40798375000000014,0.6655,0.33267250000000004,0.6139,0.22973050000000006,0,1,type,v,0.0715794637799263,-0.02605360932648182,0.09763307124376297
400,2,0.49874686716791977,0.685,0.37157500000000016,0.6165,0.23491750000000017,0.5905,0.1830475000000001,0.564875,0.1319256250000001,0.5385,0.07930750000000002,0,1,use,n,0.004193580709397793,-0.002531131263822317,0.00672471197322011
400,2,0.49874686716791977,0.8775,0.7556125,0.8155,0.6319225,0.78875,0.57855625,0.77625,0.55361875,0.75485,0.5109257500000002,0,1,use,v,0.1631510853767395,-0.1080830916762352,0.2712341845035553
399,2,0.49874686716791977,0.8270676691729323,0.655,0.8095238095238095,0.6200000000000001,0.7992481203007519,0.5995,0.781578947368421,0.56425,0.7459649122807017,0.4932,0,1,used,a,0.1226608082652092,-0.10054425150156021,0.2232050597667694
800,4,0.2490613266583229,0.62375,0.4989604166666667,0.572,0.4300466666666666,0.547875,0.3979202083333333,0.5208125,0.36188197916666665,0.483375,0.3120277083333334,0,1,value,n,0.3329910337924957,-0.09563380479812622,0.42862483859062195
400,2,0.49874686716791977,0.635,0.2718250000000001,0.6205,0.24289750000000018,0.6025,0.20698750000000013,0.589875,0.18180062500000013,0.5626,0.12738700000000003,0,1,value,v,0.056657660752534866,-0.005559425335377455,0.06221708655357361
400,2,0.49874686716791977,0.6525,0.3067375,0.582,0.16609,0.565,0.13217499999999996,0.535625,0.07357187500000009,0.5209,0.04419550000000012,0,1,very,a,0.0022868849337100983,-0.002480248222127557,0.004767132923007011
400,2,0.49874686716791977,0.6625,0.3266875,0.625,0.25187500000000007,0.6135,0.22893250000000015,0.6025,0.20698750000000013,0.5835,0.1690825000000001,0,1,very,r,0.010839872993528843,-0.009172294288873672,0.02001216635107994
1400,7,0.14224446032880628,0.4742857142857143,0.3871047619047619,0.4117142857142857,0.3141569047619047,0.38107142857142856,0.2784324404761905,0.3510357142857143,0.24341580357142856,0.30032857142857144,0.18429972619047622,0,1,way,n,0.052662499248981476,0.014165246859192848,0.03849725425243378
600,3,0.332220367278798,0.5066666666666667,0.2612333333333334,0.48733333333333334,0.23228166666666666,0.4761666666666667,0.21555958333333336,0.46175,0.19397062499999998,0.4186,0.12935350000000004,0,1,well,a,0.024439143016934395,0.006361993961036205,0.018077149987220764
600,3,0.332220367278798,0.6516666666666666,0.47837083333333325,0.6236666666666667,0.4364408333333334,0.6035,0.40624125000000005,0.56975,0.35570062499999994,0.5258666666666667,0.2899853333333334,0,1,well,n,0.098287433385849,-0.0021204911172389984,0.1004079282283783
600,3,0.332220367278798,0.5533333333333333,0.33111666666666667,0.5056666666666667,0.2597358333333334,0.482,0.22429499999999997,0.4499166666666667,0.17625020833333335,0.4179333333333333,0.12835516666666666,0,1,well,r,0.04727454483509064,0.02452836185693741,0.02274618297815323
999,5,0.1991991991991992,0.44844844844844844,0.31125,0.3921921921921922,0.24100000000000002,0.36446446446446445,0.206375,0.342042042042042,0.17837499999999998,0.3217017017017017,0.152975,0,1,work,n,0.12646158039569855,0.006974969990551472,0.11948660761117935
1200,6,0.16597164303586323,0.48583333333333334,0.3835141666666667,0.4161666666666667,0.2999838333333334,0.3909166666666667,0.2697090833333333,0.37454166666666666,0.25007545833333333,0.35536666666666666,0.2270846333333333,0,1,work,v,0.13728253543376923,-0.02572817914187908,0.16301071643829346
400,2,0.49874686716791977,0.65,0.30175000000000013,0.6155,0.23292250000000017,0.60175,0.20549125000000007,0.585125,0.17232437500000009,0.5583,0.1188085000000001,0,8,about,r,0.003176183206960559,-0.0035679663997143507,0.00674414960667491
400,2,0.49874686716791977,0.8,0.6010000000000002,0.7815,0.5640925,0.781,0.5630950000000001,0.77725,0.5556137500000001,0.7702,0.5415490000000001,0,8,before,r,0.1366412192583084,-0.1274053305387497,0.2640465497970581
400,2,0.49874686716791977,0.8475,0.6957625000000002,0.8165,0.6339175000000001,0.80175,0.60449125,0.78725,0.5755637500000002,0.76,0.5212000000000001,0,8,being,n,0.0992627963423729,-0.08692412078380585,0.18618690967559814
1600,8,0.12445278298936835,0.4475,0.36896607142857146,0.357625,0.2663159821428572,0.3263125,0.23055263392857145,0.2865625,0.18515245535714286,0.244575,0.13719673214285713,0,8,case,n,0.06574985384941101,-0.0016451438423246145,0.06739499419927597
1000,5,0.1991991991991992,0.516,0.39560500000000004,0.4314,0.28996075000000004,0.3886,0.23651425,0.3562,0.19605475000000003,0.3201,0.150974875,0,8,cell,n,0.08256921172142029,-0.016861002892255783,0.09943021833896637
1000,5,0.1991991991991992,0.415,0.26948125,0.3634,0.20504575,0.3474,0.18506575,0.3301,0.16346237500000002,0.30902,0.13713872500000002,0,8,class,n,0.04942651093006134,-0.003418732201680541,0.052845243364572525
600,3,0.332220367278798,0.5783333333333334,0.36855416666666674,0.5216666666666666,0.28369583333333326,0.5003333333333333,0.2517491666666666,0.47408333333333336,0.21243979166666668,0.44183333333333336,0.16414541666666668,0,8,code,n,0.023306364193558693,-0.0039403196424245834,0.027246683835983276
1200,6,0.16597164303586323,0.3875,0.2656125,0.3463333333333333,0.21625366666666665,0.3159166666666667,0.17978408333333334,0.2926666666666667,0.15190733333333334,0.26598333333333335,0.11991401666666666,0,8,control,n,0.03615175932645798,0.0008469983586110175,0.03530476242303848
800,4,0.2490613266583229,0.43375,0.24594375000000004,0.3975,0.19767083333333338,0.3765,0.16970583333333336,0.3539375,0.13966010416666672,0.327575,0.10455404166666668,0,8,control,v,0.027137165889143944,-0.008671424351632595,0.035808589309453964
600,3,0.332220367278798,0.6633333333333333,0.4958416666666667,0.6023333333333334,0.40449416666666677,0.5816666666666667,0.3735458333333333,0.5491666666666667,0.32487708333333337,0.4984,0.24885400000000002,0,8,court,n,0.02692282944917679,-0.007279439363628626,0.034202270209789276
