sense,n_sense,n_lemma,chance,purity_k5,excess_k5,purity_k10,excess_k10,purity_k20,excess_k20,purity_k50,excess_k50,step,layer,word,pos,n,n_conf,share,log_share
line_up.v.02,200,1400,0.14224446032880628,0.288,0.16992666666666664,0.2675,0.14602708333333336,0.255,0.13145416666666668,0.2423,0.11664808333333332,0,1,find,v,4356,1105,0.0454090567925944,-1.3428575188879739
rule.v.04,200,1400,0.14224446032880628,0.557,0.4835358333333334,0.5005,0.4176662499999999,0.45625,0.366078125,0.3381,0.22833491666666667,0,1,find,v,10064,7271,0.104912017346343,-0.9791747618705176
first.a.01,200,600,0.332220367278798,0.497,0.2467575,0.462,0.19434500000000002,0.4315,0.14867124999999998,0.3922,0.08981949999999998,0,1,first,a,35019,5695,0.3736794929252833,-0.4275007350477753
first.s.02,200,600,0.332220367278798,0.537,0.3066575,0.516,0.27521,0.50175,0.253870625,0.435,0.15391249999999998,0,1,first,a,57704,17382,0.615745779712743,-0.21059855610883296
first.s.05,200,600,0.332220367278798,0.447,0.1718825,0.419,0.12995249999999997,0.41125,0.118346875,0.4066,0.11138350000000002,0,1,first,a,979,274,0.010446678191092,-1.9810217834877066
first.r.01,200,800,0.2490613266583229,0.471,0.2955483333333333,0.411,0.21564833333333333,0.45875,0.2792354166666667,0.4706,0.29501566666666673,0,1,first,r,58228,51385,0.6296348360168255,-0.20091125162843124
first.r.02,200,800,0.2490613266583229,0.451,0.268915,0.4435,0.25892750000000003,0.4325,0.24427916666666669,0.3823,0.1774295,0,1,first,r,29014,24609,0.3137360914369749,-0.5034355182473611
first.r.03,200,800,0.2490613266583229,0.379,0.17303500000000002,0.3505,0.1350825,0.30975,0.08081708333333339,0.269,0.0265516666666667,0,1,first,r,4658,944,0.0503681916975745,-1.2978436407615517
foremost.r.01,200,800,0.2490613266583229,0.513,0.35147833333333334,0.491,0.3221816666666667,0.457,0.27690500000000007,0.4259,0.2354901666666667,0,1,first,r,579,202,0.006260880848625,-2.203364561232783
following.s.02,200,399,0.5,0.719,0.43799999999999994,0.678,0.3560000000000001,0.63,0.26,0.6114,0.2228000000000001,0,1,following,a,3758,3552,0.1680905309299101,-0.7744567510502248
following.s.01,199,399,0.49748743718592964,0.5969849246231156,0.19800000000000006,0.5773869346733669,0.15900000000000014,0.5605527638190955,0.1255,0.5403015075376885,0.08520000000000007,0,1,following,a,18580,17222,0.8310596233841749,-0.08036781715710872
following.n.01,200,400,0.49874686716791977,0.717,0.435415,0.68,0.3616000000000002,0.6705,0.34264750000000005,0.6386,0.27900699999999995,0,1,following,n,1007,671,0.096557675711957,-1.0152131969042917
pursuit.n.01,200,400,0.49874686716791977,0.79,0.5810500000000002,0.779,0.5591050000000002,0.74225,0.48578875,0.6935,0.3885325000000001,0,1,following,n,9422,3128,0.9034423242880428,-0.04409956755569474
establish.v.01,200,400,0.49874686716791977,0.719,0.43940500000000005,0.7135,0.4284325000000001,0.69125,0.38404375000000013,0.6278,0.2574610000000001,0,1,found,v,12699,10661,0.8527969914713586,-0.06915434043487201
establish.v.08,200,400,0.49874686716791977,0.805,0.6109750000000002,0.767,0.5351650000000001,0.74725,0.49576375,0.6915,0.38454250000000006,0,1,found,v,939,314,0.0630582230877711,-1.2002582713624341
function.n.01,200,800,0.2490613266583229,0.534,0.37944333333333335,0.501,0.33549833333333334,0.4645,0.28689250000000005,0.4026,0.20446233333333336,0,1,function,n,29394,24970,0.3839642605219844,-0.4157091979773552
function.n.02,200,800,0.2490613266583229,0.223,-0.034704999999999986,0.2185,-0.04069749999999999,0.22175,-0.03636958333333332,0.2274,-0.02884566666666667,0,1,function,n,22740,13364,0.2970452229798573,-0.5271774274656135
function.n.03,200,800,0.2490613266583229,0.628,0.50462,0.582,0.4433633333333333,0.52775,0.37112041666666673,0.4447,0.2605255,0,1,function,n,1427,402,0.0186404368158424,-1.7295439147026825
routine.n.03,200,800,0.2490613266583229,0.65,0.5339166666666667,0.629,0.5059516666666667,0.5635,0.4187275,0.4524,0.27077933333333337,0,1,function,n,22374,16160,0.292264284034799,-0.5342242540723785
function.v.01,200,400,0.49874686716791977,0.699,0.399505,0.669,0.33965500000000015,0.635,0.2718250000000001,0.5571,0.11641450000000014,0,1,function,v,11976,7101,0.839301983320485,-0.07608175062200138
serve.v.01,200,400,0.49874686716791977,0.7,0.40149999999999997,0.6775,0.35661250000000005,0.642,0.2857900000000001,0.5785,0.1591075000000001,0,1,function,v,2153,368,0.1508865372485808,-0.8213495081335103
arrive.v.01,200,1200,0.16597164303586323,0.258,0.110342,0.2355,0.08336449999999997,0.21625,0.06028374999999998,0.2068,0.0489532,0,1,get,v,5087,3213,0.0541590809884271,-1.2663287136922103
become.v.01,200,1200,0.16597164303586323,0.243,0.09235699999999998,0.2235,0.0689765,0.21825,0.06268174999999998,0.213,0.05638699999999998,0,1,get,v,26028,19761,0.2771088185505765,-0.5573496532617463
bring.v.04,200,1200,0.16597164303586323,0.296,0.15590399999999996,0.2825,0.13971749999999994,0.2495,0.10015049999999999,0.2135,0.05698649999999998,0,1,get,v,736,226,0.0078358725393124,-2.105912636986068
catch.v.18,200,1200,0.16597164303586323,0.592,0.5108079999999999,0.557,0.46884300000000007,0.5455,0.4550545,0.4941,0.3934259,0,1,get,v,525,211,0.0055894471238302,-2.252631147917608
get.v.01,200,1200,0.16597164303586323,0.323,0.188277,0.2835,0.14091649999999994,0.26425,0.11783574999999996,0.2403,0.0891197,0,1,get,v,44654,32291,0.4754117559381222,-0.3229300832811013
get.v.03,200,1200,0.16597164303586323,0.161,-0.005961000000000009,0.164,-0.002364000000000006,0.166,3.3999999999996313e-05,0.1782,0.014661799999999982,0,1,get,v,13119,8084,0.1396722987000543,-0.854889719259045
full.s.06,200,400,0.49874686716791977,0.619,0.23990500000000006,0.6115,0.22494250000000016,0.61475,0.2314262500000001,0.6086,0.21915700000000013,0,1,good,a,2393,1280,0.0245156795852926,-1.6105560634191567
good.a.01,200,400,0.49874686716791977,0.552,0.10624000000000015,0.555,0.11222500000000016,0.5495,0.10125250000000004,0.5608,0.12379599999999999,0,1,good,a,88797,42893,0.9097027998893568,-0.04110046861271262
commodity.n.01,200,800,0.2490613266583229,0.83,0.7736166666666666,0.8105,0.7476491666666667,0.80775,0.7439870833333333,0.7938,0.7254103333333333,0,1,good,n,10321,9747,0.6840988930867634,-0.16488111228952657
good.n.01,200,800,0.2490613266583229,0.523,0.36479500000000004,0.511,0.348815,0.4845,0.31352583333333334,0.4537,0.2725105,0,1,good,n,2312,554,0.1532445151454895,-0.8146150605920981
